timestamp_ms,emg1_raw,emg2_raw,fsr1,fsr2
1.6894000000320375,4095,3291,1693,1166
2.643599989823997,1245,4095,1729,1119
3.2562999986112118,145,4095,1728,1076
3.806399996392429,0,4095,1734,1049
4.3676000204868615,0,4095,1744,1040
4.92189999204129,0,4095,1753,1035
5.482200009282678,0,4095,1765,1037
6.464599980972707,0,4095,1779,1042
7.036699971649796,0,1801,1502,992
7.57539999904111,744,443,1286,944
8.091699972283095,2749,0,1130,895
8.599599997978657,4095,0,1015,840
9.072699991520494,4095,0,919,784
9.54900000942871,4095,0,836,727
10.06300002336502,4095,0,757,675
10.590400022920221,4095,0,691,623
11.19360001757741,4095,1200,816,601
12.327399977948517,4095,2905,999,607
12.947199982590973,1962,4095,1163,620
13.53150000795722,207,4095,1239,633
14.054199971724302,4095,0,1040,675
14.54940001713112,4095,0,912,639
15.049299981910735,4095,0,811,599
15.546599985100329,4095,0,720,561
16.114800004288554,4095,1968,914,573
16.7850999860093,3978,3403,1088,591
17.74500001920387,1373,4095,1201,603
17.93480000924319,0,4095,1280,627
18.066300021018833,0,4095,1351,656
18.19709996925667,0,4095,1408,689
18.327999976463616,0,4095,1462,723
18.452299991622567,0,4095,1514,759
18.57939996989444,0,2597,1359,755
18.704499991144985,0,811,1142,736
18.824299972038716,2236,0,976,707
18.942599999718368,4095,0,885,675
19.063099985942245,4095,0,803,638
19.1810000105761,4095,0,733,600
19.299799983855337,4095,0,671,561
19.41810001153499,4095,0,618,526
19.550099968910217,4095,336,657,498
19.697399984579533,4095,2501,871,511
19.81630001682788,4095,0,972,613
19.94069997454062,4095,0,860,592
20.46839997638017,4095,0,769,562
21.060700004454702,4095,0,694,532
22.00769999762997,4095,0,637,497
23.25839997502044,4095,0,583,468
23.91320001333952,4095,1314,731,473
24.530199996661395,4095,2948,917,496
25.14290000544861,1933,4095,1086,526
25.73120000306517,190,4095,1171,553
26.268000015988946,0,4095,1259,586
26.85969998128712,0,4095,1328,624
27.389900002162904,0,4095,1392,659
27.92359999148175,0,4095,1449,703
28.68370001669973,0,4073,1430,726
29.252399981487542,0,1245,1177,708
29.801399970892817,1578,68,987,687
30.30919999582693,3366,0,892,658
30.808200011961162,4095,0,804,627
31.345099967438728,4095,0,733,592
31.886400014627725,4095,0,671,560
32.41019998677075,4095,0,619,511
32.94479998294264,4095,0,571,480
33.59269996872172,4095,2016,791,492
33.722300024237484,3921,0,956,607
33.834500005468726,4095,0,848,587
33.95979997003451,4095,0,756,558
34.08890002174303,4095,0,685,530
34.204899973701686,4095,0,625,496
34.32249999605119,4095,0,578,466
34.44909997051582,4095,226,611,455
34.58949999185279,4095,2465,831,470
34.738300018943846,2702,3985,1019,497
34.897000005003065,754,4095,1125,528
35.02319997642189,0,4095,1211,560
35.47429997706786,0,4095,1290,596
36.060200014617294,0,4095,1355,637
36.61070001544431,0,4095,1419,677
37.26070001721382,0,4095,1472,719
38.55009999824688,0,1735,1228,705
39.233500021509826,815,397,1039,686
39.84159999527037,2795,0,909,661
40.37519998382777,4095,0,822,635
40.88799998862669,4095,0,749,597
41.41130001517013,4095,0,685,564
41.98440001346171,4095,0,627,528
42.67930000787601,4095,0,578,487
42.87810000823811,1424,141,966,592
43.026299972552806,2667,0,855,578
43.1891999905929,4095,0,774,560
43.49349997937679,4095,0,702,530
43.64980000536889,4095,0,642,502
43.771900003775954,4095,0,597,480
43.89209998771548,4095,0,556,450
44.014299986884,4095,0,511,429
44.18259998783469,4095,2011,747,445
44.33569998946041,3900,3425,934,469
44.49369997018948,1331,4095,1073,496
44.63149997172877,0,4095,1164,533
44.7705999831669,0,4095,1247,574
44.928999966941774,0,4095,1319,609
45.525899971835315,0,4095,1383,655
46.11819999990985,0,4095,1441,694
46.76120000658557,0,2538,1290,694
47.314199968241155,0,785,1084,682
47.85139998421073,2256,0,923,656
48.388299997895956,4095,0,840,631
48.92969998763874,4095,0,759,597
49.68070000177249,4095,0,696,568
50.29899999499321,4095,0,639,530
50.83279998507351,4095,0,589,490
51.49209999945015,4095,430,645,471
52.045300020836294,2647,0,944,592
52.588799968361855,4095,0,845,575
53.120500000659376,4095,0,756,550
53.65139996865764,4095,0,684,525
54.20720000984147,4095,0,627,496
54.753499978687614,4095,0,581,465
55.27459998847917,4095,0,539,438
55.885399982798845,4095,1233,685,445
56.51259998558089,4095,2903,880,464
57.50819999957457,1839,4095,1054,496
58.36159997852519,123,4095,1142,528
59.00090001523495,0,4095,1231,563
59.6897000214085,0,4095,1299,600
60.79499999759719,0,4095,1369,644
61.48179998854175,0,4095,1425,686
62.060599972028285,0,3831,1393,704
62.6250000204891,0,1203,1152,688
63.19339998299256,1601,35,962,667
63.783699995838106,3409,0,867,646
64.44629997713491,4095,0,785,618
65.00930001493543,4095,0,718,578
65.13980001909658,4095,0,656,544
65.27030002325773,4095,0,603,502
65.38659997750074,0,911,1055,611
65.51789998775348,1401,145,902,592
65.63640001695603,2617,0,805,573
65.75489998795092,4095,0,729,549
65.87220000801608,4095,0,671,528
65.99600001936778,4095,0,622,497
66.13420002395287,4095,0,576,467
66.2540000048466,4095,0,537,443
66.38689996907488,4095,362,592,432
66.7379000224173,4095,2523,813,455
67.38829996902496,2629,4075,1005,483
